Class Name,Accuracy
"('beacon', 'lighthouse', 'beacon light', 'pharos')",78.0
"('beaker',)",24.0
"('bearskin', 'busby', 'shako')",80.0
"('beer bottle',)",78.0
"('beer glass',)",66.0
"('bell cote', 'bell cot')",64.0
"('bib',)",80.0
"('bicycle-built-for-two', 'tandem bicycle', 'tandem')",88.0
"('bikini', 'two-piece')",30.0
"('binder', 'ring-binder')",50.0
"('binoculars', 'field glasses', 'opera glasses')",50.0
"('birdhouse',)",84.0
"('boathouse',)",78.0
"('bobsled', 'bobsleigh', 'bob')",90.0
"('bolo tie', 'bolo', 'bola tie', 'bola')",74.0
"('bonnet', 'poke bonnet')",40.0
"('bookcase',)",68.0
"('bookshop', 'bookstore', 'bookstall')",76.0
"('bottlecap',)",44.0
"('bow',)",52.0
"('bow tie', 'bow-tie', 'bowtie')",50.0
"('brass', 'memorial tablet', 'plaque')",92.0
"('brassiere', 'bra', 'bandeau')",32.0
"('breakwater', 'groin', 'groyne', 'mole', 'bulwark', 'seawall', 'jetty')",44.0
"('breastplate', 'aegis', 'egis')",18.0
"('broom',)",38.0
"('bucket', 'pail')",52.0
"('buckle',)",20.0
"('bulletproof vest',)",72.0
"('bullet train', 'bullet')",94.0
"('butcher shop', 'meat market')",74.0
"('cab', 'hack', 'taxi', 'taxicab')",70.0
"('caldron', 'cauldron')",26.0
"('candle', 'taper', 'wax light')",60.0
"('cannon',)",86.0
"('canoe',)",44.0
"('can opener', 'tin opener')",28.0
"('cardigan',)",94.0
"('car mirror',)",92.0
"('carousel', 'carrousel', 'merry-go-round', 'roundabout', 'whirligig')",94.0
"(""carpenter's kit"", 'tool kit')",80.0
"('carton',)",62.0
"('car wheel',)",38.0
"('cash machine', 'cash dispenser', 'automated teller machine', 'automatic teller machine', 'automated teller', 'automatic teller', 'ATM')",78.0
"('cassette',)",42.0
"('cassette player',)",20.0
"('castle',)",82.0
"('catamaran',)",50.0
"('CD player',)",42.0
"('cello', 'violoncello')",82.0
